,ibs_mean_reversion,donchian_channel,vix_mean_reversion,vol_overlay,gtaa,bollinger_band,sector_momentum,regime_factor_rotation,quantitative_momentum,vix_etn_dual,quality_profitability,industry_trend,low_volatility,commodity_carry,commodity_trend,bond_trend,credit_carry,cross_asset_carry,us_cross_sectional_momentum,us_shareholder_yield,us_earnings_momentum,us_return_seasonality,country_cape_rotation,yield_curve_duration,em_dm_carry,turn_of_month,overnight_premium,short_interest_contrarian,sentiment_timing,insider_buying,pead_earnings_drift,bab_long_short,qmj_long_short,bond_duration_carry,reit_dividend_carry
ibs_mean_reversion,1.0,0.4083684560624902,0.2762008727064411,-0.005144211648468705,0.5231782020014187,0.6505839685792918,0.6384592747944141,0.6902561627616244,0.6097959910973811,0.3306769422263643,0.014478051943677114,0.6326877432006487,0.03588121161679338,0.05527124616084269,0.008663402423081612,-0.12413981593848153,-0.11256733885174851,0.1370373753903106,0.00904531411830556,0.020637399255650668,0.013659955436118507,0.018134894437473376,0.013525546716453849,0.03665800965534988,0.03678508549519667,0.3625310775320462,0.7028568298978946,0.0200346751120375,0.011989612874230844,0.02758876714588158,0.015896134396963073,0.022565761185519614,0.006298558156336576,0.014767260788848742,0.020549085965499286
donchian_channel,0.4083684560624902,1.0,0.08850860528017163,-0.022038977098262583,0.5598138757331818,0.34274192628806377,0.5831189402820894,0.6099153409231617,0.554868060459466,0.44844272297279547,0.025045811469598982,0.49412960863724215,0.02208673118205628,0.110341218097945,0.03962000340455083,-0.1284699911040946,-0.09393306469379142,0.16334861280861238,0.0019381476777264328,0.015628477941927916,0.006740664937250092,0.01864728730259586,0.032991483044141304,0.011691203766494247,0.01729966409806298,0.4008959755201835,0.635307462747021,0.016892559168608802,0.03708479201441633,0.017693947107758134,0.015363747668819303,0.012576467003877373,0.01983480217438087,0.01155556356962871,0.015405855490187945
vix_mean_reversion,0.2762008727064411,0.08850860528017163,1.0,-0.03728960505753566,0.29776828237443514,0.430681048875885,0.34919613911591635,0.36192286475419083,0.31385898935758466,0.14291158409695548,-0.051382293314041004,0.3035102923491832,-0.05089940519307047,0.01850756801875281,0.049154568172849786,-0.07572692240114028,-0.04503335551276962,0.10537600214945068,-0.05676490472215306,-0.04635251057118215,-0.056459903902386276,-0.05511549759855611,-0.03351387695776239,0.011400802358807033,-0.053958001800239096,0.1119840806963454,0.37883237134410386,-0.053939042990442415,-0.04635876630263818,-0.05263928030542228,-0.05248823207697122,-0.0007650345822942878,0.01992999243429045,0.015214433607200104,-0.04633279343251318
vol_overlay,-0.005144211648468705,-0.022038977098262583,-0.03728960505753566,1.0,-0.0249037548908768,-0.004598214807800189,-0.021122910681922662,-0.016641903977756316,-0.023482906522611886,0.0015559539224210305,0.03421355926011592,-0.01812656272550385,0.04785680894881908,-0.0438424668777772,0.03427911507398359,0.10955923018365003,0.13104694906145442,0.037628678708210885,0.046747948382396744,0.019126707313814134,0.04623474158461365,0.04514917467466717,0.03587069429682624,0.06394088787385148,0.05564394856535922,-0.008790289087698657,-0.03376574687920938,0.03942079876823531,0.03633608707411427,0.044573336177097064,0.040436466309693546,0.05436817146852211,-0.019608941478234814,0.05557579398058988,0.019222884514911616
gtaa,0.5231782020014187,0.5598138757331818,0.29776828237443514,-0.0249037548908768,1.0,0.5207330449379433,0.7573838863369299,0.7179579226580829,0.6483498787257677,0.3393579196071795,0.047004938854683674,0.6490330622140752,0.06508067501449391,0.21911208647402555,0.2578281753628938,-0.1194747983225562,-0.09118192792153472,0.3958143177817712,0.037807858428839845,0.05861979615497476,0.04427109518399587,0.05071502248670017,0.061525499782296884,-0.02007370801649517,0.04533304161481477,0.39126937756449093,0.7215845114696772,0.0501339890809263,0.04102163717532993,0.0558303267439511,0.06270494724245906,0.00105561366151556,0.03798858365120758,-0.02393734939928974,0.05862881945182906
bollinger_band,0.6505839685792918,0.34274192628806377,0.430681048875885,-0.004598214807800189,0.5207330449379433,1.0,0.7706105640769291,0.8529544483717334,0.7332028502590856,0.21728895726400788,0.002474507646322846,0.7977188377178406,0.008392485622146364,0.07230388480940984,0.02266738759069339,-0.17393708115228057,-0.12898762557912077,0.23867511036107708,-0.023302331007014933,0.0039560895546624595,-0.016702276559935218,-0.0020726711322198044,0.009421071206561923,0.035343344720297334,0.0033343304464154458,0.43482930080245763,0.8672982494885458,-7.55853257356084e-07,0.01324692947056971,0.00593599829766818,-0.0026029487564738743,0.01913003399461729,0.009401913157117666,0.023485019869148988,0.0038963997257450227
sector_momentum,0.6384592747944141,0.5831189402820894,0.34919613911591635,-0.021122910681922662,0.7573838863369299,0.7706105640769291,1.0,0.897251248333492,0.8449515655778026,0.33203121258692325,0.010525081512222154,0.877738449666735,0.018226037139195836,0.07666830786565068,0.09504595717367133,-0.10155838696342885,-0.046487190877622264,0.3421596567096061,-0.020851341602718725,0.006849603757434008,-0.012937966694652876,0.0004070862548559645,0.010480852828654052,0.037382400810805703,-0.0007366197157207565,0.477408268602556,0.9111980204003663,-0.0019324216298514019,0.014231686883107508,0.00698872989157895,-0.0006976530001790738,0.04093248400442971,0.038259688447882655,0.02779314980301738,0.00676927621303679
regime_factor_rotation,0.6902561627616244,0.6099153409231617,0.36192286475419083,-0.016641903977756316,0.7179579226580829,0.8529544483717334,0.897251248333492,1.0,0.8167580137857994,0.3356568189250432,0.01143449973445254,0.8914159335062527,0.023200598699358387,0.08969566791318105,0.03974963155814779,-0.19866574374528922,-0.1366247220766323,0.26107818992718873,-0.01781985797357027,0.018818209770684057,-0.0082004165478823,0.01106839074671068,0.03488895542899867,0.02674061039814389,0.008650144236967701,0.5496703634400057,0.9667530262352764,0.004817946196289633,0.01719619404600911,0.014063654834352983,0.0032174310357557818,0.0351868160659328,0.04584658311086904,0.019893103204664767,0.018773312683873288
quantitative_momentum,0.6097959910973811,0.554868060459466,0.31385898935758466,-0.023482906522611886,0.6483498787257677,0.7332028502590856,0.8449515655778026,0.8167580137857994,1.0,0.3424845053333674,-0.01538627171427273,0.8357813612321965,-0.002488128525268451,0.0660470572991439,0.08949284880535667,0.01415055286857609,0.02520359225044475,0.33444876411065316,-0.03234166189451725,-0.004190372023666617,-0.027517443286844242,-0.01763472666635259,-0.0021408560631110064,0.012409924150965418,-0.00043110658783383803,0.43652751690793157,0.8412580817670611,-0.023475185511041458,-0.004985816193097463,-0.013734378517707969,-0.013508983793763776,0.0214721200644478,0.02853576287818235,0.007230030540773429,-0.004196759360247275
vix_etn_dual,0.3306769422263643,0.44844272297279547,0.14291158409695548,0.0015559539224210305,0.3393579196071795,0.21728895726400788,0.33203121258692325,0.3356568189250432,0.3424845053333674,1.0,0.014572703094774748,0.3161713392317732,0.01675916270929392,0.05529796063600826,0.059224005675237654,-0.03774476633685497,-0.0491540903048487,0.10996421220297412,0.013341073207870278,0.01642209531117203,0.01346651772471672,0.015951904493793346,0.011156713120799772,-0.0011966896817381745,0.011510605549338823,0.26579630787605923,0.38085924826695594,0.01791037054021671,0.018065000649537404,0.01728388053093281,0.016496697480119036,-0.00017518351323901661,-0.012305238683974831,-0.004235859424200252,0.016190023154561257
quality_profitability,0.014478051943677114,0.025045811469598982,-0.051382293314041004,0.03421355926011592,0.047004938854683674,0.002474507646322846,0.010525081512222154,0.01143449973445254,-0.01538627171427273,0.014572703094774748,1.0,-0.00018417358403497,0.9096695748687593,0.01894094996505293,0.03470068772773418,-0.11242052957581995,-0.14916091735061784,-0.003917292944342471,0.7999915997215642,0.8792665480385281,0.8537234296824884,0.9237574407914145,0.47445507041960305,-0.22104703671877038,0.6678643642292662,0.020362226238541323,0.008067038531429633,0.9152694905641815,0.9446937313533224,0.927541988337218,0.8688796323853558,0.062088634836840045,-0.009332004209987341,-0.27146078527880424,0.8795034454489083
industry_trend,0.6326877432006487,0.49412960863724215,0.3035102923491832,-0.01812656272550385,0.6490330622140752,0.7977188377178406,0.877738449666735,0.8914159335062527,0.8357813612321965,0.3161713392317732,-0.00018417358403497,1.0,0.005184972065677336,0.045079014001962986,0.1120322209364795,-0.08865784959381219,-0.03687860793787484,0.38373749397920776,-0.027244733738694106,0.004397998866665068,-0.01964739433506879,-0.007940085390916401,0.0003384812446699591,0.017763349682933496,-0.017203691707446078,0.481828640939222,0.8829336698078933,-0.00984555745866442,-0.0028143855507885545,-0.003755991651820851,-0.00573233898913866,0.022459572265107308,0.04584568479444365,0.01453141551680639,0.004406251084227538
low_volatility,0.03588121161679338,0.02208673118205628,-0.05089940519307047,0.04785680894881908,0.06508067501449391,0.008392485622146364,0.018226037139195836,0.023200598699358387,-0.002488128525268451,0.01675916270929392,0.9096695748687593,0.005184972065677336,1.0,0.018067174594045592,0.04877797342330683,-0.11409107095935644,-0.1807119345763325,0.005649754133371187,0.8302678213820399,0.9426583295553572,0.8772510265689922,0.9563775436095584,0.6185136532840492,-0.2486389476858897,0.76377481777905,0.04010491783809848,0.018924662085365133,0.9492581967544389,0.9086517877023429,0.9719454600119102,0.9116425700266851,-0.01756977141062858,-0.0819583473874213,-0.3170243068067749,0.9427678999945082
commodity_carry,0.05527124616084269,0.110341218097945,0.01850756801875281,-0.0438424668777772,0.21911208647402555,0.07230388480940984,0.07666830786565068,0.08969566791318105,0.0660470572991439,0.05529796063600826,0.01894094996505293,0.045079014001962986,0.018067174594045592,1.0,0.3363985685894283,-0.038682460029745,-0.0026752100665076613,0.3094385612983097,0.01600155547641006,0.03274770678355718,0.015185769027361093,0.02940526029927865,0.01699758211984284,-0.05897060401727104,-0.018735607186445558,0.045978437672184805,0.10369112976123938,0.04255251082248849,0.01612559651351439,0.027720408638364787,0.03235227421597598,-0.042931737206992004,-0.05993668620280321,-0.06677715510678892,0.03259050269392338
commodity_trend,0.008663402423081612,0.03962000340455083,0.049154568172849786,0.03427911507398359,0.2578281753628938,0.02266738759069339,0.09504595717367133,0.03974963155814779,0.08949284880535667,0.059224005675237654,0.03470068772773418,0.1120322209364795,0.04877797342330683,0.3363985685894283,1.0,0.05191008286958714,0.08045838307571351,0.7355491103452731,0.04002432894269271,0.050519721994165,0.03987295214521595,0.04889195606396029,0.017933141032427668,-0.06403036285734491,0.006606236043409308,-0.01882534054666284,0.0554337491479624,0.05578766979092232,0.034465255483330695,0.04429524837130319,0.05124386583752623,-0.06024270673539845,-0.016159206649751467,-0.06048036276833516,0.0506275536408401
bond_trend,-0.12413981593848153,-0.1284699911040946,-0.07572692240114028,0.10955923018365003,-0.1194747983225562,-0.17393708115228057,-0.10155838696342885,-0.19866574374528922,0.01415055286857609,-0.03774476633685497,-0.11242052957581995,-0.08865784959381219,-0.11409107095935644,-0.038682460029745,0.05191008286958714,1.0,0.6862960689636557,0.20996389182940486,-0.012611208489809397,-0.22308346852070224,-0.03499011852035285,-0.13396442425197447,-0.042179689266153494,0.3397962339347234,-0.0036413548323023666,-0.12523674951439887,-0.18535285607350882,-0.1609541271743718,-0.10390534924475166,-0.12299727261864625,-0.11865126408689701,0.2517139062505111,-0.03854975785631369,0.35634347338418776,-0.22268347076897205
credit_carry,-0.11256733885174851,-0.09393306469379142,-0.04503335551276962,0.13104694906145442,-0.09118192792153472,-0.12898762557912077,-0.046487190877622264,-0.1366247220766323,0.02520359225044475,-0.0491540903048487,-0.14916091735061784,-0.03687860793787484,-0.1807119345763325,-0.0026752100665076613,0.08045838307571351,0.6862960689636557,1.0,0.20265478946296211,-0.08802196353831288,-0.2135930953053699,-0.10056414410465529,-0.1405549824754616,0.022776170108083284,0.3308883478949773,-0.07019335700934692,-0.08326680568852204,-0.1284032194533279,-0.1617032348408314,-0.1059302883195097,-0.1486244871101518,-0.16522391833907885,0.1282118176629226,-0.033772788573868326,0.3903427289502853,-0.21314280385279688
cross_asset_carry,0.1370373753903106,0.16334861280861238,0.10537600214945068,0.037628678708210885,0.3958143177817712,0.23867511036107708,0.3421596567096061,0.26107818992718873,0.33444876411065316,0.10996421220297412,-0.003917292944342471,0.38373749397920776,0.005649754133371187,0.3094385612983097,0.7355491103452731,0.20996389182940486,0.20265478946296211,1.0,0.007896391696524995,-0.0007492569492649621,0.0074700262381782135,0.003737854767282333,0.020182996396992,0.01718409000042965,0.005951447236268076,0.11076134670906619,0.27458702386772244,0.003381994297239624,0.004614273643561828,0.005859324273918064,0.0011748310809762076,-0.010665379092185847,-0.01568267045646163,0.012806665867086885,-0.0007420342961415977
us_cross_sectional_momentum,0.00904531411830556,0.0019381476777264328,-0.05676490472215306,0.046747948382396744,0.037807858428839845,-0.023302331007014933,-0.020851341602718725,-0.01781985797357027,-0.03234166189451725,0.013341073207870278,0.7999915997215642,-0.027244733738694106,0.8302678213820399,0.01600155547641006,0.04002432894269271,-0.012611208489809397,-0.08802196353831288,0.007896391696524995,1.0,0.7394978988341602,0.9922189275660902,0.8795031560145052,0.4760619381168875,-0.116874788353473,0.7215606520284488,-0.025296232286899815,-0.01823260928336899,0.8561051626349742,0.773269005843616,0.8933484054359659,0.8797650561675682,0.008042778528216915,-0.3297181688236065,-0.09580375495488147,0.7393229657439223
us_shareholder_yield,0.020637399255650668,0.015628477941927916,-0.04635251057118215,0.019126707313814134,0.05861979615497476,0.0039560895546624595,0.006849603757434008,0.018818209770684057,-0.004190372023666617,0.01642209531117203,0.8792665480385281,0.004397998866665068,0.9426583295553572,0.03274770678355718,0.050519721994165,-0.22308346852070224,-0.2135930953053699,-0.0007492569492649621,0.7394978988341602,1.0,0.7952349425041455,0.9308193681924338,0.5648861839823283,-0.4531328823371603,0.6878622926067699,0.03210790725317673,0.014738455301922491,0.9383457845304467,0.8791357155024084,0.9323729918536537,0.8771796639564883,-0.20034302457545936,-0.03948160066407047,-0.517874899592887,0.9999820371593372
us_earnings_momentum,0.013659955436118507,0.006740664937250092,-0.056459903902386276,0.04623474158461365,0.04427109518399587,-0.016702276559935218,-0.012937966694652876,-0.0082004165478823,-0.027517443286844242,0.01346651772471672,0.8537234296824884,-0.01964739433506879,0.8772510265689922,0.015185769027361093,0.03987295214521595,-0.03499011852035285,-0.10056414410465529,0.0074700262381782135,0.9922189275660902,0.7952349425041455,1.0,0.9192777702175869,0.5192815364698555,-0.13819738718869684,0.7492303052521859,-0.010972854602653787,-0.010311900124359953,0.8924928570571327,0.8178632346034822,0.9320818541911607,0.9099428966944371,0.020607969302294023,-0.2464388566567698,-0.13579043505011554,0.7951817209019365
us_return_seasonality,0.018134894437473376,0.01864728730259586,-0.05511549759855611,0.04514917467466717,0.05071502248670017,-0.0020726711322198044,0.0004070862548559645,0.01106839074671068,-0.01763472666635259,0.015951904493793346,0.9237574407914145,-0.007940085390916401,0.9563775436095584,0.02940526029927865,0.04889195606396029,-0.13396442425197447,-0.1405549824754616,0.003737854767282333,0.8795031560145052,0.9308193681924338,0.9192777702175869,1.0,0.5596532399568398,-0.2804813750895774,0.7437818092037841,0.017654814909509375,0.006178005203155606,0.9664946683772501,0.9188841793550981,0.9797142925285388,0.9213671976341665,-0.04790592166905982,-0.12227742660370541,-0.32002116256824104,0.9306776978115322
country_cape_rotation,0.013525546716453849,0.032991483044141304,-0.03351387695776239,0.03587069429682624,0.061525499782296884,0.009421071206561923,0.010480852828654052,0.03488895542899867,-0.0021408560631110064,0.011156713120799772,0.47445507041960305,0.0003384812446699591,0.6185136532840492,0.01699758211984284,0.017933141032427668,-0.042179689266153494,0.022776170108083284,0.020182996396992,0.4760619381168875,0.5648861839823283,0.5192815364698555,0.5596532399568398,1.0,-0.025044754441933242,0.755306034764916,0.040878623028998105,0.01950622100023934,0.5809591263134215,0.5216642746068122,0.614709902701563,0.5573388520462923,-0.08587740104750773,-0.09140789972549503,-0.07416139250638551,0.5651029381881639
yield_curve_duration,0.03665800965534988,0.011691203766494247,0.011400802358807033,0.06394088787385148,-0.02007370801649517,0.035343344720297334,0.037382400810805703,0.02674061039814389,0.012409924150965418,-0.0011966896817381745,-0.22104703671877038,0.017763349682933496,-0.2486389476858897,-0.05897060401727104,-0.06403036285734491,0.3397962339347234,0.3308883478949773,0.01718409000042965,-0.116874788353473,-0.4531328823371603,-0.13819738718869684,-0.2804813750895774,-0.025044754441933242,1.0,-0.07989235978308012,0.039967002395300044,0.0226130544350034,-0.29138723350231166,-0.2371311101725967,-0.2525999054787726,-0.2683366324155279,0.5872017612972189,-0.04888162343844056,0.9192330209653484,-0.45251961856314754
